Fri, Mar 22, 2024
2:10:05 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
166.9900000	4211.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0698729	0.0801150	-0.0842618	-0.1106717	-0.0702594	-0.0811318	0.0832216	0.1103790
168.5400000	-4224.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0700589	0.0862832	0.1107677	0.0839688	-0.0705284	-0.0873490	-0.1118963	-0.0843745
169.8600000	-33.2000008	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0575637	0.0680685	0.0110751	-0.0100091	-0.0580531	-0.0690898	-0.0120815	0.0096529
171.1200000	4210.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0726752	0.0834999	-0.0841862	-0.1117211	-0.0732115	-0.0846102	0.0832058	0.1115153
172.7200000	-4225.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0731037	0.0899940	0.1119572	0.0839391	-0.0736956	-0.0911302	-0.1130447	-0.0842955
174.1350000	-33.2900009	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0607437	0.0719112	0.0117255	-0.0106155	-0.0613228	-0.0729796	-0.0127007	0.0103009
175.4150000	4209.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0761688	0.0876733	-0.0841361	-0.1130489	-0.0767639	-0.0888266	0.0831806	0.1128682
177.1600000	-4224.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0768341	0.0944931	0.1133754	0.0838913	-0.0774563	-0.0956533	-0.1144574	-0.0842469
178.5250000	-33.1699982	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0643582	0.0762242	0.0124257	-0.0113235	-0.0649436	-0.0772997	-0.0133919	0.0110002
179.7650000	4210.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0799845	0.0922096	-0.0841031	-0.1145088	-0.0805808	-0.0933559	0.0831607	0.1143337
181.3750000	-4224.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0805721	0.0989875	0.1148004	0.0838541	-0.0812033	-0.1001471	-0.1158752	-0.0842130
182.8000000	-33.2900009	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0680330	0.0806210	0.0131471	-0.0120367	-0.0686329	-0.0817080	-0.0141062	0.0117168
184.0700000	4209.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0838475	0.0968128	-0.0840855	-0.1160062	-0.0844616	-0.0979643	0.0831415	0.1158248
185.6150000	-4223.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0844619	0.1036715	0.1162915	0.0838228	-0.0851090	-0.1048324	-0.1173639	-0.0841877
186.9150000	-33.2900009	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0716964	0.0850076	0.0138597	-0.0127531	-0.0723208	-0.0861047	-0.0148216	0.0124229
188.2300000	4209.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0876688	0.1013585	-0.0840751	-0.1174954	-0.0883012	-0.1025251	0.0831467	0.1173246
189.9250000	-4222.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0884891	0.1085121	0.1178342	0.0837926	-0.0891455	-0.1096641	-0.1189032	-0.0841711
191.2500000	-33.6500015	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0756551	0.0897412	0.0146224	-0.0135381	-0.0762955	-0.0908436	-0.0155734	0.0132075
192.5600000	4209.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0918057	0.1062856	-0.0840715	-0.1191164	-0.0924469	-0.1074473	0.0831386	0.1189219
194.2550000	-4221.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0926645	0.1135307	0.1194339	0.0837610	-0.0933379	-0.1146797	-0.1204887	-0.0841528
195.5700000	-33.2000008	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0797622	0.0946607	0.0154288	-0.0143393	-0.0804162	-0.0957585	-0.0163661	0.0139983
197.0000000	4208.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0961391	0.1114533	-0.0840640	-0.1208063	-0.0967903	-0.1125989	0.0831457	0.1205970
198.7050000	-4222.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0969785	0.1187478	0.1211006	0.0837183	-0.0977504	-0.1199526	-0.1221359	-0.0841382
200.1950000	-33.1800003	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0842719	0.1000531	0.0162934	-0.0152366	-0.0849617	-0.1011669	-0.0172157	0.0148654
201.7000000	4208.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.1007892	0.1169985	-0.0840490	-0.1226209	-0.1014893	-0.1181619	0.0831484	0.1223689
203.4500000	-4221.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.1017986	0.1244937	0.1228772	0.0836572	-0.1025571	-0.1256501	-0.1238740	-0.0841164
204.9500000	-33.2400017	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0890350	0.1057512	0.0172037	-0.0161702	-0.0897485	-0.1068329	-0.0181003	0.0157595
206.4500000	4208.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.1056488	0.1227957	-0.0840154	-0.1244704	-0.1063598	-0.1238963	0.0831419	0.1241389
