Mon, Apr 01, 2024
2:22:51 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
200.1950000	-33.8699989	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0413923	0.0488571	0.0076139	-0.0075840	-0.0418911	-0.0502726	-0.0089542	0.0073223
201.6500000	4194.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0490637	0.0563818	-0.0408908	-0.0592716	-0.0498318	-0.0580784	0.0398733	0.0597648
203.5000000	-4207.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0500961	0.0608681	0.0584273	0.0401962	-0.0503813	-0.0629017	-0.0610931	-0.0404300
204.9500000	-33.0600014	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0435410	0.0513608	0.0079599	-0.0079342	-0.0440588	-0.0528247	-0.0093348	0.0076859
206.5000000	4193.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0511963	0.0588113	-0.0405167	-0.0595195	-0.0519644	-0.0604416	0.0394610	0.0599407
208.2500000	-4207.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0523331	0.0634634	0.0586235	0.0397714	-0.0525994	-0.0655414	-0.0613029	-0.0399998
209.7500000	-32.9599991	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0457857	0.0539496	0.0082772	-0.0082808	-0.0462758	-0.0553801	-0.0096794	0.0079925
211.2000000	4191.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0533335	0.0612290	-0.0400628	-0.0596417	-0.0541097	-0.0627457	0.0389915	0.0599148
213.0000000	-4208.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0546153	0.0660681	0.0586696	0.0392733	-0.0548424	-0.0681080	-0.0613086	-0.0395162
214.5000000	-33.1399994	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0480177	0.0564961	0.0085681	-0.0085829	-0.0484911	-0.0578610	-0.0099577	0.0082438
216.0000000	4194.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0554702	0.0635991	-0.0395200	-0.0596063	-0.0562157	-0.0649318	0.0384613	0.0596564
217.7500000	-4207.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0568758	0.0686140	0.0585281	0.0387022	-0.0571075	-0.0705574	-0.0610360	-0.0389660
219.3000000	-33.0900002	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0502335	0.0589920	0.0088048	-0.0088419	-0.0507095	-0.0602439	-0.0101457	0.0084136
220.7500000	4194.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0575979	0.0659149	-0.0388648	-0.0593399	-0.0583202	-0.0669920	0.0378476	0.0590916
222.5500000	-4207.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0591223	0.0710698	0.0581403	0.0380813	-0.0594105	-0.0728237	-0.0603895	-0.0383851
224.0500000	-33.0600014	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0524139	0.0613245	0.0089207	-0.0088622	-0.0530059	-0.0624477	-0.0100874	0.0084374
225.5500000	4194.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0597364	0.0680639	-0.0381722	-0.0586137	-0.0605034	-0.0689155	0.0372509	0.0581834
227.3500000	-4208.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0613773	0.0733541	0.0573099	0.0373966	-0.0617695	-0.0749539	-0.0592710	-0.0376263
228.8500000	-33.9099998	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0546792	0.0636928	0.0089806	-0.0089722	-0.0552218	-0.0646673	-0.0101159	0.0084422
230.3000000	4194.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0618381	0.0701764	-0.0371542	-0.0576077	-0.0624897	-0.0708002	0.0361739	0.0569234
232.1000000	-4207.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0635719	0.0755177	0.0560538	0.0362393	-0.0639741	-0.0769348	-0.0577864	-0.0365063
